company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_index,daily_rank,difficulty_class
UA,1421,2025-08-01,ORD,FLL,25.45513069307826,87,Difficult
UA,1823,2025-08-01,ORD,IAH,25.43895128281205,88,Difficult
UA,1740,2025-08-01,ORD,RSW,25.40391853845168,89,Difficult
UA,791,2025-08-01,ORD,DEN,25.39501078547538,90,Difficult
UA,556,2025-08-01,ORD,CLT,25.343908554240084,91,Difficult
OO,5405,2025-08-01,ORD,SCE,25.33134657835678,92,Difficult
UA,2418,2025-08-01,ORD,PHL,25.22651909317692,93,Difficult
YX,3685,2025-08-01,ORD,DTW,25.15697575759388,94,Difficult
UA,2090,2025-08-01,ORD,MIA,25.14102122769265,95,Difficult
YX,3498,2025-08-01,ORD,CVG,25.13854953479565,96,Difficult
UA,1477,2025-08-01,ORD,PHX,25.131235400677454,97,Difficult
UA,2280,2025-08-01,ORD,MCO,25.0564065483056,98,Difficult
UA,2067,2025-08-01,ORD,BOS,25.053026720372984,99,Difficult
G7,4611,2025-08-01,ORD,MDT,25.050094311544495,100,Difficult
OO,5469,2025-08-01,ORD,SDF,25.03800772523956,101,Difficult
YX,3421,2025-08-01,ORD,ROC,25.010325173989894,102,Difficult
OO,4790,2025-08-01,ORD,GRR,24.929254576580036,103,Difficult
YX,3700,2025-08-01,ORD,BNA,24.92887077210754,104,Difficult
UA,482,2025-08-01,ORD,CHS,24.901882394673272,105,Difficult
UA,669,2025-08-01,ORD,AUS,24.89549961622123,106,Difficult
UA,2232,2025-08-01,ORD,MSP,24.879315683822572,107,Difficult
UA,2071,2025-08-01,ORD,SAN,24.846395818862547,108,Difficult
UA,2455,2025-08-01,ORD,SAV,24.833411938266437,109,Difficult
UA,1620,2025-08-01,ORD,SEA,21.96076192896036,110,Difficult
UA,1599,2025-08-01,ORD,DEN,21.863964612116423,111,Difficult
UA,1068,2025-08-01,ORD,IAD,21.777524992779266,112,Difficult
UA,1778,2025-08-01,ORD,OMA,21.76899208925201,113,Difficult
UA,2385,2025-08-01,ORD,MSO,21.69547836047179,114,Difficult
OO,5292,2025-08-01,ORD,MTY,21.69494486902262,115,Difficult
UA,1996,2025-08-01,ORD,SJU,21.610134133111302,116,Difficult
UA,490,2025-08-01,ORD,SAT,21.530700953450896,117,Difficult
UA,1297,2025-08-01,ORD,DFW,21.471128479207717,118,Difficult
UA,708,2025-08-01,ORD,MCI,21.399104179002755,119,Difficult
UA,2011,2025-08-01,ORD,YVR,21.352938067559585,120,Difficult
OO,5821,2025-08-01,ORD,MKE,21.332837983438544,121,Difficult
G7,4558,2025-08-01,ORD,XNA,21.288780623823033,122,Difficult
OO,5260,2025-08-01,ORD,FSD,21.269801820368563,123,Difficult
OO,5593,2025-08-01,ORD,MEM,21.24772781088888,124,Difficult
G7,4529,2025-08-01,ORD,SGF,21.24453473159187,125,Difficult
OO,5375,2025-08-01,ORD,GRB,21.221082357410083,126,Difficult
UA,1414,2025-08-01,ORD,BOI,21.218315930530835,127,Difficult
UA,1387,2025-08-01,ORD,SFO,21.201221954416273,128,Difficult
OO,4778,2025-08-01,ORD,FAR,21.146242120695494,129,Difficult
OO,5435,2025-08-01,ORD,BDL,21.12046474747704,130,Difficult
UA,2684,2025-08-01,ORD,FCA,21.102700331026618,131,Difficult
UA,1124,2025-08-01,ORD,IAH,21.0901981936624,132,Difficult
G7,4184,2025-08-01,ORD,DAY,21.083487869068286,133,Difficult
G7,4504,2025-08-01,ORD,CHA,21.074202404642623,134,Difficult
UA,1933,2025-08-01,ORD,LAS,21.06634149674154,135,Difficult
UA,275,2025-08-01,ORD,RAP,21.0507316805429,136,Difficult
OO,5470,2025-08-01,ORD,GEG,21.0178794958319,137,Difficult
UA,2369,2025-08-01,ORD,AUS,21.014318568179217,138,Difficult
UA,1793,2025-08-01,ORD,MSP,20.99220046383804,139,Difficult
UA,2691,2025-08-01,ORD,EWR,20.96369472177288,140,Difficult
UA,1413,2025-08-01,ORD,LGA,20.926883572770414,141,Difficult
YX,3601,2025-08-01,ORD,YYZ,20.90448480895632,142,Difficult
UA,2092,2025-08-01,ORD,LGA,20.88422471694099,143,Difficult
UA,764,2025-08-01,ORD,YYC,20.881056941179573,144,Difficult
UA,1010,2025-08-01,ORD,DCA,20.825458200165304,145,Difficult
OO,5444,2025-08-01,ORD,LIT,20.73708045780533,146,Difficult
UA,1146,2025-08-01,ORD,MBJ,20.61879464526932,147,Difficult
UA,2172,2025-08-01,ORD,FAI,20.10212087034749,148,Difficult
UA,374,2025-08-01,ORD,MSP,20.085830812003184,149,Difficult
UA,2658,2025-08-01,ORD,SMF,20.036405756942482,150,Difficult
OO,5108,2025-08-01,ORD,SLN,19.988654015336095,151,Difficult
UA,793,2025-08-01,ORD,DFW,19.84666141426505,152,Difficult
OO,5045,2025-08-01,ORD,RHI,19.824272293525596,153,Difficult
UA,2278,2025-08-01,ORD,SEA,19.81560899580889,154,Difficult
G7,4518,2025-08-01,ORD,STL,19.811398167939167,155,Difficult
UA,2417,2025-08-01,ORD,SAN,19.79076228673973,156,Difficult
OO,5135,2025-08-01,ORD,MCW,19.778768214132487,157,Difficult
UA,580,2025-08-01,ORD,PDX,19.76079061885752,158,Difficult
UA,1983,2025-08-01,ORD,LAX,19.735801017950507,159,Difficult
OO,5915,2025-08-01,ORD,LNK,19.649946986398483,160,Difficult
UA,1801,2025-08-01,ORD,DEN,19.525268946294915,161,Difficult
YX,3433,2025-08-01,ORD,CVG,19.42530794729182,162,Difficult
UA,1785,2025-08-01,ORD,EWR,19.424604668615764,163,Difficult
UA,592,2025-08-01,ORD,JAC,19.372401258371028,164,Difficult
G7,4590,2025-08-01,ORD,MDT,19.35759839111984,165,Difficult
UA,422,2025-08-01,ORD,ATH,19.33801166727273,166,Difficult
OO,5225,2025-08-01,ORD,MKE,19.308205387118484,167,Difficult
OO,5131,2025-08-01,ORD,CMX,19.30061580927275,168,Difficult
OO,4766,2025-08-01,ORD,OKC,19.28774961849008,169,Difficult
UA,1660,2025-08-01,ORD,SFO,19.277980803401036,170,Difficult
OO,5847,2025-08-01,ORD,DSM,19.240937663057423,171,Difficult
UA,1859,2025-08-01,ORD,SNA,19.22505315316043,172,Difficult
UA,929,2025-08-01,ORD,LHR,19.1918283350419,173,Difficult
OO,5901,2025-08-01,ORD,FAR,19.075038619962044,174,Difficult
YX,3525,2025-08-01,ORD,YYZ,19.01390959437261,175,Difficult
UA,664,2025-08-01,ORD,LGA,18.982863990971406,176,Difficult
UA,2184,2025-08-01,ORD,EGE,18.791372864587892,177,Difficult
UA,972,2025-08-01,ORD,BRU,17.8401353978958,178,Difficult
OO,4636,2025-08-01,ORD,SBN,17.222177530057664,179,Difficult
OO,5729,2025-08-01,ORD,FNT,17.216134680722778,180,Difficult
UA,1761,2025-08-01,ORD,FAT,17.098199163290477,181,Difficult
UA,1316,2025-08-01,ORD,SRQ,17.060846314044692,182,Difficult
OO,5344,2025-08-01,ORD,MBS,17.04429652163765,183,Difficult
OO,5038,2025-08-01,ORD,PLN,17.022919975104934,184,Difficult
OO,5505,2025-08-01,ORD,SBN,16.918634230184196,185,Difficult
UA,265,2025-08-01,ORD,YYZ,16.880311179511096,186,Difficult
OO,5100,2025-08-01,ORD,DEC,16.864324747436118,187,Difficult
OO,5601,2025-08-01,ORD,FNT,16.85377273354495,188,Medium
YX,3598,2025-08-01,ORD,SDF,16.63788046202018,189,Medium
UA,714,2025-08-01,ORD,MDT,16.62321834632478,190,Medium
OO,4792,2025-08-01,ORD,ROA,16.556796583543143,191,Medium
UA,2677,2025-08-01,ORD,IAD,16.556072149340757,192,Medium
OO,5603,2025-08-01,ORD,FNT,16.529536857808537,193,Medium
UA,534,2025-08-01,ORD,EWR,16.517147368975206,194,Medium
UA,247,2025-08-01,ORD,OMA,16.48907222655301,195,Medium
UA,2075,2025-08-01,ORD,TPA,16.441719395021,196,Medium
UA,468,2025-08-01,ORD,IAH,16.417166586373323,197,Medium
UA,1347,2025-08-01,ORD,FLL,16.412344395916854,198,Medium
OO,5624,2025-08-01,ORD,LEX,16.379038658018253,199,Medium
UA,2039,2025-08-01,ORD,MCO,16.31039488609116,200,Medium
YX,3465,2025-08-01,ORD,GSP,16.296479388545343,201,Medium
G7,4186,2025-08-01,ORD,MLI,16.248958475095872,202,Medium
YX,3628,2025-08-01,ORD,IND,16.219701635211464,203,Medium
UA,2627,2025-08-01,ORD,MSP,16.198725951360718,204,Medium
OO,5250,2025-08-01,ORD,BNA,16.165988455616652,205,Medium
OO,5118,2025-08-01,ORD,PLN,16.142451887411717,206,Medium
YX,3542,2025-08-01,ORD,YUL,16.08667588966219,207,Medium
OO,5964,2025-08-01,ORD,CID,16.082536978173845,208,Medium
UA,359,2025-08-01,ORD,MEX,16.045840111822084,209,Medium
OO,5358,2025-08-01,ORD,CAK,16.0274817207258,210,Medium
OO,5852,2025-08-01,ORD,HSV,16.01441171875035,211,Medium
OO,5499,2025-08-01,ORD,SBN,15.985302262832574,212,Medium
UA,2483,2025-08-01,ORD,IAH,15.9675904123665,213,Medium
UA,310,2025-08-01,ORD,MCI,15.967511119791208,214,Medium
UA,467,2025-08-01,ORD,CMH,15.949171795474209,215,Medium
UA,1491,2025-08-01,ORD,DFW,15.947352475100052,216,Medium
OO,5314,2025-08-01,ORD,LNK,15.93958160619812,217,Medium
OO,5874,2025-08-01,ORD,PIA,15.889243132739923,218,Medium
UA,1658,2025-08-01,ORD,EWR,15.885974660352534,219,Medium
UA,2099,2025-08-01,ORD,IAH,15.884925728776366,220,Medium
OO,5360,2025-08-01,ORD,MBS,15.860981922028012,221,Medium
OO,5536,2025-08-01,ORD,SAT,15.831214196567483,222,Medium
OO,5020,2025-08-01,ORD,FOD,15.81846349109672,223,Medium
OO,5795,2025-08-01,ORD,TUL,15.814508248386385,224,Medium
OO,5643,2025-08-01,ORD,CAK,15.807733516187428,225,Medium
UA,356,2025-08-01,ORD,ATL,15.801209692786117,226,Medium
UA,1531,2025-08-01,ORD,DSM,15.793876952874907,227,Medium
UA,1273,2025-08-01,ORD,SFO,15.786174179634054,228,Medium
OO,4739,2025-08-01,ORD,GRB,15.774963682461262,229,Medium
OO,5568,2025-08-01,ORD,MLI,15.76200510344829,230,Medium
UA,1612,2025-08-01,ORD,MEM,15.748707375687413,231,Medium
UA,2497,2025-08-01,ORD,DTW,15.72791668609645,232,Medium
OO,5763,2025-08-01,ORD,TUL,15.721867393449232,233,Medium
UA,1144,2025-08-01,ORD,ONT,15.71372398540454,234,Medium
UA,1082,2025-08-01,ORD,PIT,15.705814742323195,235,Medium
OO,5362,2025-08-01,ORD,MKE,15.705468202897716,236,Medium
OO,5521,2025-08-01,ORD,ATW,15.687909179564436,237,Medium
OO,5437,2025-08-01,ORD,DLH,15.683291168115531,238,Medium
OO,5230,2025-08-01,ORD,CRW,15.6788365862745,239,Medium
UA,1710,2025-08-01,ORD,SMF,15.67790222955286,240,Medium
OO,5274,2025-08-01,ORD,SBN,15.675742725283104,241,Medium
UA,1403,2025-08-01,ORD,SLC,15.673112976411756,242,Medium
UA,2329,2025-08-01,ORD,DTW,15.671343008785332,243,Medium
UA,2254,2025-08-01,ORD,PDX,15.660347843955513,244,Medium
UA,1872,2025-08-01,ORD,MSP,15.657157175427608,245,Medium
UA,845,2025-08-01,ORD,GRU,15.629572076088893,246,Medium
YX,3641,2025-08-01,ORD,GRR,15.625603825651929,247,Medium
UA,343,2025-08-01,ORD,SFO,15.61460310430824,248,Medium
UA,1811,2025-08-01,ORD,MSP,15.60833257599939,249,Medium
OO,4789,2025-08-01,ORD,FAR,15.602847320214464,250,Medium
OO,5448,2025-08-01,ORD,FWA,15.60276854401447,251,Medium
UA,1502,2025-08-01,ORD,RDU,15.599868841210684,252,Medium
UA,2389,2025-08-01,ORD,RSW,15.586130531641937,253,Medium
UA,1634,2025-08-01,ORD,IAD,15.5859061491567,254,Medium
G7,4458,2025-08-01,ORD,LIT,15.559018825725154,255,Medium
UA,1492,2025-08-01,ORD,CMH,15.557479403244944,256,Medium
UA,481,2025-08-01,ORD,RNO,15.556683128018776,257,Medium
OO,5251,2025-08-01,ORD,ASE,15.55611977201234,258,Medium
UA,1448,2025-08-01,ORD,BUF,15.545921968554255,259,Medium
G7,4549,2025-08-01,ORD,MLI,15.543121317177134,260,Medium
OO,5125,2025-08-01,ORD,CMX,15.53956891374772,261,Medium
OO,5977,2025-08-01,ORD,ICT,15.525914201794869,262,Medium
OO,5376,2025-08-01,ORD,LEX,15.522483349225272,263,Medium
UA,2347,2025-08-01,ORD,CLE,15.514205648386776,264,Medium
UA,1851,2025-08-01,ORD,ALB,15.51173079468925,265,Medium
OO,5275,2025-08-01,ORD,DLH,15.511196015450457,266,Medium
OO,5026,2025-08-01,ORD,JST,15.510967554899644,267,Medium
UA,1584,2025-08-01,ORD,LAX,15.502696191367216,268,Medium
UA,2629,2025-08-01,ORD,CLE,15.501700177691,269,Medium
UA,2337,2025-08-01,ORD,IAD,15.500058329004254,270,Medium
OO,5382,2025-08-01,ORD,FWA,15.47889132721375,271,Medium
UA,2657,2025-08-01,ORD,IAH,15.471699866288862,272,Medium
UA,1182,2025-08-01,ORD,SJC,15.470806433126254,273,Medium
UA,1069,2025-08-01,ORD,DCA,15.461606279072365,274,Medium
OO,5309,2025-08-01,ORD,FWA,15.461324137547674,275,Medium
UA,1848,2025-08-01,ORD,ATL,15.451444537152614,276,Medium
UA,758,2025-08-01,ORD,EWR,15.447790778769429,277,Medium
UA,2343,2025-08-01,ORD,IND,15.436213747500476,278,Medium
G7,4501,2025-08-01,ORD,AVP,15.43320926979132,279,Medium
UA,307,2025-08-01,ORD,COS,15.427781616987518,280,Medium
UA,2364,2025-08-01,ORD,CMH,15.425964065673497,281,Medium
UA,476,2025-08-01,ORD,CVG,15.4258377826957,282,Medium
OO,5564,2025-08-01,ORD,SBN,15.425738817921347,283,Medium
UA,2465,2025-08-01,ORD,ORF,15.424444404208016,284,Medium
UA,1980,2025-08-01,ORD,LGA,15.420453142661653,285,Medium
OO,5122,2025-08-01,ORD,EAU,15.418247413742392,286,Medium
OO,5262,2025-08-01,ORD,LNK,15.412718715441054,287,Medium
UA,609,2025-08-01,ORD,PHX,15.408624789144357,288,Medium
UA,2113,2025-08-01,ORD,FSD,15.403886505954906,289,Medium
UA,533,2025-08-01,ORD,OMA,15.403678070361604,290,Medium
UA,1215,2025-08-01,ORD,ANC,15.401120071122069,291,Medium
OO,5427,2025-08-01,ORD,PIA,15.395280895560115,292,Medium
G7,4542,2025-08-01,ORD,LIT,15.39520361192781,293,Medium
OO,5607,2025-08-01,ORD,TUS,15.38986930844189,294,Medium
UA,576,2025-08-01,ORD,LAX,15.382892049982717,295,Medium
UA,1594,2025-08-01,ORD,ABQ,15.373504576538469,296,Medium
OO,5668,2025-08-01,ORD,MKE,15.371999486202013,297,Medium
G7,4585,2025-08-01,ORD,DAY,15.370613039039677,298,Medium
UA,2426,2025-08-01,ORD,IAH,15.36485424180169,299,Medium
UA,2333,2025-08-01,ORD,BWI,15.36483328160782,300,Medium
UA,2059,2025-08-01,ORD,PDX,15.362102282767129,301,Medium
UA,1923,2025-08-01,ORD,CID,15.358532619059018,302,Medium
UA,224,2025-08-01,ORD,BZN,15.3527512811391,303,Medium
UA,1941,2025-08-01,ORD,CVG,15.349781861167092,304,Medium
OO,5841,2025-08-01,ORD,MEM,15.349031537377,305,Medium
OO,4645,2025-08-01,ORD,FWA,15.34507066069354,306,Medium
UA,1830,2025-08-01,ORD,DSM,15.345048494486946,307,Medium
UA,2182,2025-08-01,ORD,PHL,15.339044491364978,308,Medium
OO,5534,2025-08-01,ORD,ICT,15.335895307529498,309,Medium
G7,4406,2025-08-01,ORD,TVC,15.335843884477121,310,Medium
UA,2211,2025-08-01,ORD,SEA,15.331087797446585,311,Medium
YX,3422,2025-08-01,ORD,DTW,15.330973981830695,312,Medium
UA,2618,2025-08-01,ORD,STL,15.330089858842594,313,Medium
OO,5810,2025-08-01,ORD,PIA,15.326848885116629,314,Medium
UA,2370,2025-08-01,ORD,BOS,15.323366363490459,315,Medium
UA,2665,2025-08-01,ORD,IAH,15.321397072616156,316,Medium
OO,5215,2025-08-01,ORD,LNK,15.320353687899141,317,Medium
OO,5565,2025-08-01,ORD,CHO,15.309326631406957,318,Medium
OO,5269,2025-08-01,ORD,PIA,15.301661955703421,319,Medium
UA,1314,2025-08-01,ORD,IAH,15.293476208767068,320,Medium
G7,4452,2025-08-01,ORD,RIC,15.290545981748489,321,Medium
OO,4638,2025-08-01,ORD,COS,15.289412611048975,322,Medium
G7,4563,2025-08-01,ORD,FSD,15.288665090625214,323,Medium
UA,2494,2025-08-01,ORD,MCI,15.288253556648604,324,Medium
UA,1239,2025-08-01,ORD,ROC,15.281834961756793,325,Medium
UA,2195,2025-08-01,ORD,BDL,15.280725373179854,326,Medium
UA,503,2025-08-01,ORD,DEN,15.280536635321914,327,Medium
OO,4809,2025-08-01,ORD,ICT,15.275641816444283,328,Medium
UA,1156,2025-08-01,ORD,MSY,15.275180435972114,329,Medium
UA,1328,2025-08-01,ORD,SMF,15.275143053565177,330,Medium
OO,5395,2025-08-01,ORD,GSO,15.271245385464493,331,Medium
OO,5748,2025-08-01,ORD,YWG,15.26941949875483,332,Medium
UA,2649,2025-08-01,ORD,EWR,15.26897459289786,333,Medium
OO,5289,2025-08-01,ORD,CRW,15.268958377877256,334,Medium
UA,2201,2025-08-01,ORD,MCO,15.268933964783441,335,Medium
UA,445,2025-08-01,ORD,ANC,15.268811361784707,336,Medium
UA,1834,2025-08-01,ORD,TPA,15.268176310947545,337,Medium
UA,1538,2025-08-01,ORD,SAV,15.26731182148593,338,Medium
OO,5219,2025-08-01,ORD,GRB,15.264398040758714,339,Medium
UA,2616,2025-08-01,ORD,PDX,15.264242015910831,340,Medium
UA,2138,2025-08-01,ORD,LGA,15.262517351249935,341,Medium
UA,2100,2025-08-01,ORD,SLC,15.262445614014458,342,Medium
UA,2225,2025-08-01,ORD,PHX,15.259109516462269,343,Medium
OO,5103,2025-08-01,ORD,JLN,15.257548152011275,344,Medium
OO,5868,2025-08-01,ORD,YWG,15.25272068561283,345,Medium
UA,2862,2025-08-01,ORD,IAD,15.252608572196186,346,Medium
UA,1044,2025-08-01,ORD,LAX,15.247362705287633,347,Medium
OO,5652,2025-08-01,ORD,GEG,15.24681899304767,348,Medium
YX,3571,2025-08-01,ORD,IND,15.242965452025913,349,Medium
UA,1304,2025-08-01,ORD,LAS,15.239903565180674,350,Medium
UA,1708,2025-08-01,ORD,CLE,15.23804284349298,351,Medium
UA,2440,2025-08-01,ORD,LAS,15.237648483686794,352,Medium
UA,1577,2025-08-01,ORD,SFO,15.228787556696316,353,Medium
UA,2609,2025-08-01,ORD,SNA,15.226129768370283,354,Medium
G7,4588,2025-08-01,ORD,MDT,15.225081587515419,355,Medium
UA,1324,2025-08-01,ORD,SFO,15.221629018024945,356,Medium
UA,1485,2025-08-01,ORD,SEA,15.220211944455933,357,Medium
UA,600,2025-08-01,ORD,LAS,15.21633671086742,358,Medium
YX,3569,2025-08-01,ORD,DTW,15.210424082912205,359,Medium
OO,5493,2025-08-01,ORD,ATW,15.209640479948206,360,Medium
UA,2290,2025-08-01,ORD,DFW,15.20738340651388,361,Medium
UA,2683,2025-08-01,ORD,SAN,15.205231279736097,362,Medium
UA,1920,2025-08-01,ORD,LAS,15.204276914506409,363,Medium
G7,4507,2025-08-01,ORD,CHA,15.200520323515725,364,Medium
UA,1077,2025-08-01,ORD,DCA,15.200440004322294,365,Medium
UA,786,2025-08-01,ORD,BTV,15.200232061418411,366,Medium
G7,4389,2025-08-01,ORD,CID,15.199650783032038,367,Medium
YX,3603,2025-08-01,ORD,CMH,15.199064809227423,368,Medium
G7,4584,2025-08-01,ORD,TUL,15.193109892499487,369,Medium
G7,4391,2025-08-01,ORD,SGF,15.188945970947213,370,Medium
UA,739,2025-08-01,ORD,BZN,15.187834126093422,371,Medium
UA,1525,2025-08-01,ORD,AUS,15.18515069922191,372,Medium
OO,5392,2025-08-01,ORD,OKC,15.184755050800081,373,Medium
UA,944,2025-08-01,ORD,FRA,15.182994309752528,374,Medium
UA,2635,2025-08-01,ORD,CLT,15.182368635720167,375,Easy
OO,5099,2025-08-01,ORD,CIU,15.179977438944142,376,Easy
UA,2640,2025-08-01,ORD,DCA,15.178097457056234,377,Easy
OO,4718,2025-08-01,ORD,DAY,15.176614791870746,378,Easy
UA,2226,2025-08-01,ORD,CLE,15.17365167845659,379,Easy
OO,5819,2025-08-01,ORD,DLH,15.173423264642055,380,Easy
UA,2133,2025-08-01,ORD,EWR,15.172151263516886,381,Easy
OO,5353,2025-08-01,ORD,GRR,15.168499229992708,382,Easy
UA,380,2025-08-01,ORD,JAX,15.168241566488721,383,Easy
OO,5414,2025-08-01,ORD,MEM,15.164783657208513,384,Easy
G7,4476,2025-08-01,ORD,CAE,15.16413762001644,385,Easy
UA,1209,2025-08-01,ORD,EWR,15.161466631429368,386,Easy
UA,881,2025-08-01,ORD,HND,15.16145307847972,387,Easy
UA,912,2025-08-01,ORD,KEF,15.161172052425334,388,Easy
OO,4791,2025-08-01,ORD,SBN,15.161166412089807,389,Easy
G7,4436,2025-08-01,ORD,SGF,15.159687498281633,390,Easy
G7,4445,2025-08-01,ORD,BHM,15.159312339169231,391,Easy
G7,4599,2025-08-01,ORD,BHM,15.157463988359362,392,Easy
